Designator,Footprint,Quantity,Value,LCSC Part #
"AM501, AM502, AM503, AM504, AM505, AM506, AM507, AM508, AM509, AM510",TSSOP-16_4.4x5mm_P0.65mm,10,SN74LV4051A,C7793
"BOOT0, NRST1",SW_SPST_SKQG_WithStem,2,SW_SPST,C318884
"C1, C10, C101, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C301, C302, C304, C305, C306, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C501, C502, C503, C504, C505, C506, C507, C508, C509, C51, C510, C52, C53, C54, C55, C56, C57, C58, C59, C6, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C7, C70, C71, C72, C73, C74, C75, C8, C9",805,91,100nF,C5137467
"C201, C202, C303",1206,3,1uF,C377070
"C203, C204",1206,2,2.2uF,C282852
"C401, C402",603,2,30pF,C7419422
D101,SOT-143,1,UET14A05L03-BK,C78442
J001,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,WAFER-SH1.0-4PWB,C3029343
"R301, R302",805,2,12kΩ,C2907225
"U1, U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U2, U20, U21, U22, U23, U24, U25, U26, U27, U28, U29, U3, U30, U31, U32, U33, U34, U35, U36, U37, U38, U39, U4, U40, U41, U42, U43, U44, U45, U46, U47, U48, U49, U5, U50, U51, U52, U53, U54, U55, U56, U57, U58, U59, U6, U60, U61, U62, U63, U64, U65, U66, U67, U68, U69, U7, U70, U71, U72, U73, U74, U75, U8, U9",SOT-23,71,OH49E-S,C85573
U201,SOT-23-3,1,XC6206PxxxMR,C5446
U202,SOT-23-5,1,TLV75733PDBV,C485517
U301,LQFP-48_7x7mm_P0.5mm,1,AT32F405CCT7,C47115471
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322512MSB4SI,C9002
