Designator,Mid X,Mid Y,Rotation,Layer
AM501,104.775,-71.4375,180.0,bottom
AM502,133.35,-71.4375,180.0,bottom
AM503,161.925,-71.4375,180.0,bottom
AM504,190.5,-71.4375,180.0,bottom
AM505,219.075,-71.4375,180.0,bottom
AM506,247.65,-71.4375,180.0,bottom
AM507,276.225,-71.4375,180.0,bottom
AM508,304.8,-71.4375,180.0,bottom
AM509,352.425,-71.4375,180.0,bottom
BOOT0,106.759375,-122.634375,180.0,bottom
C1,79.2,-61.9125,90.0,bottom
C10,250.65,-61.9125,90.0,bottom
C11,269.7,-61.9125,90.0,bottom
C12,288.75,-61.9125,90.0,bottom
C13,307.8,-61.9125,90.0,bottom
C14,327.025,-59.134375,270.0,bottom
C15,336.55,-59.134375,270.0,bottom
C16,345.9,-61.9125,90.0,bottom
C17,364.95,-61.9125,90.0,bottom
C18,77.9625,-80.9625,270.0,bottom
C19,101.775,-80.9625,270.0,bottom
C2,98.25,-61.9125,90.0,bottom
C20,120.825,-80.9625,270.0,bottom
C201,94.45625,-111.91875,180.0,bottom
C202,94.45625,-105.56875,0.0,bottom
C203,128.5875,-106.3625,0.0,bottom
C204,128.5875,-112.7125,180.0,bottom
C21,139.875,-80.9625,270.0,bottom
C22,158.925,-80.9625,270.0,bottom
C23,177.975,-80.9625,270.0,bottom
C24,197.025,-80.9625,270.0,bottom
C25,216.075,-80.9625,270.0,bottom
C26,235.125,-80.9625,270.0,bottom
C27,254.175,-80.9625,270.0,bottom
C28,273.225,-80.9625,270.0,bottom
C29,292.275,-80.9625,270.0,bottom
C3,117.3,-61.9125,90.0,bottom
C30,311.325,-80.9625,270.0,bottom
C301,90.4875,-90.090625,0.0,bottom
C302,100.0125,-88.10625,180.0,bottom
C303,102.39375,-85.725,180.0,bottom
C304,96.04375,-101.996875,270.0,bottom
C305,89.296875,-93.265625,270.0,bottom
C306,106.759375,-111.125,0.0,bottom
C31,335.1375,-80.9625,270.0,bottom
